drug1,drug2,target,new_target,source_file
DB03068,DB14669,0,1,ds_frenchDB-ddis_res.pkl
DB14939,DB00434,0,1,ds_frenchDB-ddis_res.pkl
DB11090,DB01303,0,1,ds_frenchDB-ddis_res.pkl
DB08933,DB00947,0,1,ds_frenchDB-ddis_res.pkl
DB00871,DB01192,0,1,ds_frenchDB-ddis_res.pkl
DB00812,DB09332,0,1,ds_frenchDB-ddis_res.pkl
DB08329,DB13915,0,1,ds_frenchDB-ddis_res.pkl
DB09013,DB11945,0,1,ds_frenchDB-ddis_res.pkl
DB06145,DB06285,0,1,ds_frenchDB-ddis_res.pkl
DB03664,DB00924,0,1,ds_frenchDB-ddis_res.pkl
DB00789,DB13923,0,1,ds_frenchDB-ddis_res.pkl
DB02073,DB00836,0,1,ds_frenchDB-ddis_res.pkl
DB00714,DB14805,0,1,ds_frenchDB-ddis_res.pkl
DB06698,DB01150,0,1,ds_frenchDB-ddis_res.pkl
DB14507,DB14783,0,1,ds_frenchDB-ddis_res.pkl
DB02187,DB11828,0,1,ds_frenchDB-ddis_res.pkl
DB09076,DB01091,0,1,ds_frenchDB-ddis_res.pkl
DB09342,DB03312,0,1,ds_frenchDB-ddis_res.pkl
DB03526,DB11853,0,1,ds_frenchDB-ddis_res.pkl
DB01685,DB14597,0,1,ds_frenchDB-ddis_res.pkl
DB00776,DB03450,0,1,ds_frenchDB-ddis_res.pkl
DB05271,DB00644,0,1,ds_frenchDB-ddis_res.pkl
DB06196,DB01285,0,1,ds_frenchDB-ddis_res.pkl
DB01251,DB14580,0,1,ds_frenchDB-ddis_res.pkl
DB00607,DB07338,0,1,ds_frenchDB-ddis_res.pkl
DB00152,DB00482,0,1,ds_frenchDB-ddis_res.pkl
DB02546,DB16738,0,1,ds_frenchDB-ddis_res.pkl
DB00198,DB01225,0,1,ds_frenchDB-ddis_res.pkl
DB04439,DB01126,0,1,ds_frenchDB-ddis_res.pkl
DB01109,DB00896,0,1,ds_frenchDB-ddis_res.pkl
DB06155,DB00590,0,1,ds_frenchDB-ddis_res.pkl
DB01224,DB03672,0,1,ds_frenchDB-ddis_res.pkl
DB09237,DB09318,0,1,ds_frenchDB-ddis_res.pkl
DB06441,DB14649,0,1,ds_frenchDB-ddis_res.pkl
DB00571,DB01217,0,1,ds_frenchDB-ddis_res.pkl
DB06771,DB03085,0,1,ds_frenchDB-ddis_res.pkl
DB02338,DB00024,0,1,ds_frenchDB-ddis_res.pkl
DB04861,DB00287,0,1,ds_frenchDB-ddis_res.pkl
DB13879,DB03825,0,1,ds_frenchDB-ddis_res.pkl
DB00078,DB08916,0,1,ds_frenchDB-ddis_res.pkl
DB00968,DB01272,0,1,ds_frenchDB-ddis_res.pkl
DB01048,DB14013,0,1,ds_frenchDB-ddis_res.pkl
DB00047,DB08439,0,1,ds_frenchDB-ddis_res.pkl
DB01623,DB00547,0,1,ds_frenchDB-ddis_res.pkl
DB09141,DB14635,0,1,ds_frenchDB-ddis_res.pkl
DB06757,DB09351,0,1,ds_frenchDB-ddis_res.pkl
DB03571,DB09327,0,1,ds_frenchDB-ddis_res.pkl
DB01381,DB00822,0,1,ds_frenchDB-ddis_res.pkl
DB09213,DB11327,0,1,ds_frenchDB-ddis_res.pkl
DB01223,DB00423,0,1,ds_frenchDB-ddis_res.pkl
DB11327,DB11588,0,1,ds_frenchDB-ddis_res.pkl
DB00465,DB01790,0,1,ds_frenchDB-ddis_res.pkl
DB14762,DB11689,0,1,ds_frenchDB-ddis_res.pkl
DB01279,DB01035,0,1,ds_frenchDB-ddis_res.pkl
DB11155,DB01269,0,1,ds_frenchDB-ddis_res.pkl
DB01436,DB09302,0,1,ds_frenchDB-ddis_res.pkl
DB03078,DB00555,0,1,ds_frenchDB-ddis_res.pkl
DB02552,DB00493,0,1,ds_frenchDB-ddis_res.pkl
DB00303,DB04166,0,1,ds_frenchDB-ddis_res.pkl
DB01196,DB00917,0,1,ds_frenchDB-ddis_res.pkl
DB09227,DB11714,0,1,ds_frenchDB-ddis_res.pkl
DB07995,DB11697,0,1,ds_frenchDB-ddis_res.pkl
DB14507,DB07795,0,1,ds_frenchDB-ddis_res.pkl
DB11582,DB00916,0,1,ds_frenchDB-ddis_res.pkl
DB00313,DB00029,0,1,ds_frenchDB-ddis_res.pkl
DB08059,DB08089,0,1,ds_frenchDB-ddis_res.pkl
DB11338,DB15566,0,1,ds_frenchDB-ddis_res.pkl
DB14548,DB00501,0,1,ds_frenchDB-ddis_res.pkl
DB00989,DB02655,0,1,ds_frenchDB-ddis_res.pkl
DB15669,DB15328,0,1,ds_frenchDB-ddis_res.pkl
DB08806,DB14501,0,1,ds_frenchDB-ddis_res.pkl
DB13931,DB09343,0,1,ds_frenchDB-ddis_res.pkl
DB06699,DB00531,0,1,ds_frenchDB-ddis_res.pkl
DB00441,DB03712,0,1,ds_frenchDB-ddis_res.pkl
DB00130,DB01267,0,1,ds_frenchDB-ddis_res.pkl
DB01253,DB14562,0,1,ds_frenchDB-ddis_res.pkl
DB03572,DB00390,0,1,ds_frenchDB-ddis_res.pkl
DB01199,DB01134,0,1,ds_frenchDB-ddis_res.pkl
DB04385,DB00698,0,1,ds_frenchDB-ddis_res.pkl
DB15822,DB00651,0,1,ds_frenchDB-ddis_res.pkl
DB02079,DB12530,0,1,ds_frenchDB-ddis_res.pkl
DB00230,DB07159,0,1,ds_frenchDB-ddis_res.pkl
DB05829,DB11653,0,1,ds_frenchDB-ddis_res.pkl
DB12965,DB08874,0,1,ds_frenchDB-ddis_res.pkl
DB09242,DB11635,0,1,ds_frenchDB-ddis_res.pkl
DB01151,DB14740,0,1,ds_frenchDB-ddis_res.pkl
DB13899,DB06292,0,1,ds_frenchDB-ddis_res.pkl
DB08329,DB14910,0,1,ds_frenchDB-ddis_res.pkl
DB15258,DB00246,0,1,ds_frenchDB-ddis_res.pkl
DB01133,DB04844,0,1,ds_frenchDB-ddis_res.pkl
DB04707,DB01047,0,1,ds_frenchDB-ddis_res.pkl
DB00310,DB00031,0,1,ds_frenchDB-ddis_res.pkl
DB02850,DB09329,0,1,ds_frenchDB-ddis_res.pkl
DB03010,DB04941,0,1,ds_frenchDB-ddis_res.pkl
DB11157,DB00605,0,1,ds_frenchDB-ddis_res.pkl
DB03530,DB06643,0,1,ds_frenchDB-ddis_res.pkl
DB01791,DB13932,0,1,ds_frenchDB-ddis_res.pkl
DB03929,DB00644,0,1,ds_frenchDB-ddis_res.pkl
DB01124,DB00652,0,1,ds_frenchDB-ddis_res.pkl
DB01061,DB06335,0,1,ds_frenchDB-ddis_res.pkl
DB01144,DB03975,0,1,ds_frenchDB-ddis_res.pkl
DB01341,DB11087,0,1,ds_frenchDB-ddis_res.pkl
DB03966,DB01002,0,1,ds_frenchDB-ddis_res.pkl
DB00864,DB15226,0,1,ds_frenchDB-ddis_res.pkl
DB00725,DB00713,0,1,ds_frenchDB-ddis_res.pkl
DB06211,DB00354,0,1,ds_frenchDB-ddis_res.pkl
DB00564,DB00810,0,1,ds_frenchDB-ddis_res.pkl
DB12789,DB14539,0,1,ds_frenchDB-ddis_res.pkl
DB01242,DB02545,0,1,ds_frenchDB-ddis_res.pkl
DB14109,DB09128,0,1,ds_frenchDB-ddis_res.pkl
DB07136,DB06720,0,1,ds_frenchDB-ddis_res.pkl
DB00973,DB00669,0,1,ds_frenchDB-ddis_res.pkl
DB00551,DB00997,0,1,ds_frenchDB-ddis_res.pkl
DB00760,DB06374,0,1,ds_frenchDB-ddis_res.pkl
DB04057,DB13200,0,1,ds_frenchDB-ddis_res.pkl
DB13257,DB13615,0,1,ds_frenchDB-ddis_res.pkl
DB09079,DB06728,0,1,ds_frenchDB-ddis_res.pkl
DB02329,DB13953,0,1,ds_frenchDB-ddis_res.pkl
DB09033,DB00629,0,1,ds_frenchDB-ddis_res.pkl
DB08209,DB01348,0,1,ds_frenchDB-ddis_res.pkl
DB09555,DB00890,0,1,ds_frenchDB-ddis_res.pkl
DB08058,DB01309,0,1,ds_frenchDB-ddis_res.pkl
DB00259,DB12007,0,1,ds_frenchDB-ddis_res.pkl
DB09564,DB01205,0,1,ds_frenchDB-ddis_res.pkl
DB01269,DB01047,0,1,ds_frenchDB-ddis_res.pkl
DB14845,DB09345,0,1,ds_frenchDB-ddis_res.pkl
DB01226,DB03777,0,1,ds_frenchDB-ddis_res.pkl
DB11300,DB11359,0,1,ds_frenchDB-ddis_res.pkl
DB01161,DB02557,0,1,ds_frenchDB-ddis_res.pkl
DB13746,DB12153,0,1,ds_frenchDB-ddis_res.pkl
DB11689,DB01123,0,1,ds_frenchDB-ddis_res.pkl
DB14754,DB00948,0,1,ds_frenchDB-ddis_res.pkl
DB01381,DB01605,0,1,ds_frenchDB-ddis_res.pkl
DB05679,DB00909,0,1,ds_frenchDB-ddis_res.pkl
DB01129,DB04299,0,1,ds_frenchDB-ddis_res.pkl
DB00334,DB03566,0,1,ds_frenchDB-ddis_res.pkl
DB05276,DB04620,0,1,ds_frenchDB-ddis_res.pkl
DB04173,DB01421,0,1,ds_frenchDB-ddis_res.pkl
DB14840,DB00936,0,1,ds_frenchDB-ddis_res.pkl
DB00152,DB08811,0,1,ds_frenchDB-ddis_res.pkl
DB00478,DB01148,0,1,ds_frenchDB-ddis_res.pkl
DB09059,DB14754,0,1,ds_frenchDB-ddis_res.pkl
DB06973,DB09203,0,1,ds_frenchDB-ddis_res.pkl
DB00245,DB08818,0,1,ds_frenchDB-ddis_res.pkl
DB09555,DB00600,0,1,ds_frenchDB-ddis_res.pkl
DB11817,DB06288,0,1,ds_frenchDB-ddis_res.pkl
DB01944,DB13139,0,1,ds_frenchDB-ddis_res.pkl
DB16754,DB00619,0,1,ds_frenchDB-ddis_res.pkl
DB02948,DB13876,0,1,ds_frenchDB-ddis_res.pkl
DB07352,DB15588,0,1,ds_frenchDB-ddis_res.pkl
DB09212,DB12457,0,1,ds_frenchDB-ddis_res.pkl
DB03712,DB13520,0,1,ds_frenchDB-ddis_res.pkl
DB03470,DB01580,0,1,ds_frenchDB-ddis_res.pkl
DB15303,DB06655,0,1,ds_frenchDB-ddis_res.pkl
DB00009,DB00797,0,1,ds_frenchDB-ddis_res.pkl
DB00671,DB01101,0,1,ds_frenchDB-ddis_res.pkl
DB00417,DB09299,0,1,ds_frenchDB-ddis_res.pkl
DB05099,DB08906,0,1,ds_frenchDB-ddis_res.pkl
DB02281,DB14543,0,1,ds_frenchDB-ddis_res.pkl
DB02742,DB04218,0,1,ds_frenchDB-ddis_res.pkl
DB01225,DB01069,0,1,ds_frenchDB-ddis_res.pkl
DB02063,DB11886,0,1,ds_frenchDB-ddis_res.pkl
DB00932,DB01127,0,1,ds_frenchDB-ddis_res.pkl
DB12965,DB14041,0,1,ds_frenchDB-ddis_res.pkl
DB00303,DB03906,0,1,ds_frenchDB-ddis_res.pkl
DB13899,DB00005,0,1,ds_frenchDB-ddis_res.pkl
DB04685,DB15149,0,1,ds_frenchDB-ddis_res.pkl
DB14879,DB00298,0,1,ds_frenchDB-ddis_res.pkl
DB01329,DB01254,0,1,ds_frenchDB-ddis_res.pkl
DB04839,DB00118,0,1,ds_frenchDB-ddis_res.pkl
DB01118,DB14738,0,1,ds_frenchDB-ddis_res.pkl
DB00837,DB00997,0,1,ds_frenchDB-ddis_res.pkl
DB14071,DB11090,0,1,ds_frenchDB-ddis_res.pkl
DB01189,DB09142,0,1,ds_frenchDB-ddis_res.pkl
DB01029,DB03696,0,1,ds_frenchDB-ddis_res.pkl
DB08174,DB09327,0,1,ds_frenchDB-ddis_res.pkl
DB04542,DB04794,0,1,ds_frenchDB-ddis_res.pkl
DB09109,DB08407,0,1,ds_frenchDB-ddis_res.pkl
DB05259,DB11181,0,1,ds_frenchDB-ddis_res.pkl
DB01135,DB06602,0,1,ds_frenchDB-ddis_res.pkl
DB02715,DB09239,0,1,ds_frenchDB-ddis_res.pkl
DB14738,DB01116,0,1,ds_frenchDB-ddis_res.pkl
DB15434,DB01731,0,1,ds_frenchDB-ddis_res.pkl
DB08544,DB00042,0,1,ds_frenchDB-ddis_res.pkl
DB03904,DB00565,0,1,ds_frenchDB-ddis_res.pkl
DB00675,DB09401,0,1,ds_frenchDB-ddis_res.pkl
DB09282,DB00952,0,1,ds_frenchDB-ddis_res.pkl
DB07477,DB03709,0,1,ds_frenchDB-ddis_res.pkl
DB01003,DB14489,0,1,ds_frenchDB-ddis_res.pkl
DB01793,DB12015,0,1,ds_frenchDB-ddis_res.pkl
DB09239,DB06249,0,1,ds_frenchDB-ddis_res.pkl
DB00256,DB14635,0,1,ds_frenchDB-ddis_res.pkl
DB01061,DB08935,0,1,ds_frenchDB-ddis_res.pkl
DB00978,DB00162,0,1,ds_frenchDB-ddis_res.pkl
DB11738,DB14783,0,1,ds_frenchDB-ddis_res.pkl
DB15898,DB00531,0,1,ds_frenchDB-ddis_res.pkl
DB00300,DB00946,0,1,ds_frenchDB-ddis_res.pkl
DB01280,DB03929,0,1,ds_frenchDB-ddis_res.pkl
DB03785,DB06174,0,1,ds_frenchDB-ddis_res.pkl
DB03880,DB03526,0,1,ds_frenchDB-ddis_res.pkl
DB11574,DB00782,0,1,ds_frenchDB-ddis_res.pkl
DB08888,DB14731,0,1,ds_frenchDB-ddis_res.pkl
DB01269,DB01393,0,1,ds_frenchDB-ddis_res.pkl
DB02860,DB09481,0,1,ds_frenchDB-ddis_res.pkl
DB03469,DB00932,0,1,ds_frenchDB-ddis_res.pkl
DB03006,DB11641,0,1,ds_frenchDB-ddis_res.pkl
DB08813,DB01692,0,1,ds_frenchDB-ddis_res.pkl
DB08868,DB16732,0,1,ds_frenchDB-ddis_res.pkl
DB00935,DB01957,0,1,ds_frenchDB-ddis_res.pkl
DB03856,DB00500,0,1,ds_frenchDB-ddis_res.pkl
DB15271,DB14526,0,1,ds_frenchDB-ddis_res.pkl
DB00083,DB00449,0,1,ds_frenchDB-ddis_res.pkl
DB06216,DB16226,0,1,ds_frenchDB-ddis_res.pkl
DB11193,DB01251,0,1,ds_frenchDB-ddis_res.pkl
DB01338,DB14921,0,1,ds_frenchDB-ddis_res.pkl
DB13923,DB09343,0,1,ds_frenchDB-ddis_res.pkl
DB00061,DB00788,0,1,ds_frenchDB-ddis_res.pkl
DB00346,DB02660,0,1,ds_frenchDB-ddis_res.pkl
DB14540,DB01668,0,1,ds_frenchDB-ddis_res.pkl
DB00600,DB01102,0,1,ds_frenchDB-ddis_res.pkl
DB08601,DB06288,0,1,ds_frenchDB-ddis_res.pkl
DB09265,DB16678,0,1,ds_frenchDB-ddis_res.pkl
DB12267,DB12893,0,1,ds_frenchDB-ddis_res.pkl
DB14672,DB01401,0,1,ds_frenchDB-ddis_res.pkl
DB14064,DB00981,0,1,ds_frenchDB-ddis_res.pkl
DB09265,DB02789,0,1,ds_frenchDB-ddis_res.pkl
DB02079,DB00544,0,1,ds_frenchDB-ddis_res.pkl
DB09221,DB08932,0,1,ds_frenchDB-ddis_res.pkl
DB08883,DB04547,0,1,ds_frenchDB-ddis_res.pkl
DB02281,DB11598,0,1,ds_frenchDB-ddis_res.pkl
DB02691,DB01394,0,1,ds_frenchDB-ddis_res.pkl
DB06271,DB06174,0,1,ds_frenchDB-ddis_res.pkl
DB08286,DB01114,0,1,ds_frenchDB-ddis_res.pkl
DB00389,DB06292,0,1,ds_frenchDB-ddis_res.pkl
DB02035,DB00260,0,1,ds_frenchDB-ddis_res.pkl
DB08908,DB13192,0,1,ds_frenchDB-ddis_res.pkl
DB12537,DB08597,0,1,ds_frenchDB-ddis_res.pkl
DB14009,DB01791,0,1,ds_frenchDB-ddis_res.pkl
DB16628,DB00645,0,1,ds_frenchDB-ddis_res.pkl
DB09334,DB00343,0,1,ds_frenchDB-ddis_res.pkl
DB00017,DB02859,0,1,ds_frenchDB-ddis_res.pkl
DB13900,DB01088,0,1,ds_frenchDB-ddis_res.pkl
DB00838,DB00370,0,1,ds_frenchDB-ddis_res.pkl
DB00924,DB14074,0,1,ds_frenchDB-ddis_res.pkl
DB00467,DB01416,0,1,ds_frenchDB-ddis_res.pkl
DB04363,DB15303,0,1,ds_frenchDB-ddis_res.pkl
DB00308,DB15165,0,1,ds_frenchDB-ddis_res.pkl
DB01599,DB06616,0,1,ds_frenchDB-ddis_res.pkl
DB02034,DB01173,0,1,ds_frenchDB-ddis_res.pkl
DB01007,DB00697,0,1,ds_frenchDB-ddis_res.pkl
DB03321,DB06285,0,1,ds_frenchDB-ddis_res.pkl
DB06218,DB00251,0,1,ds_frenchDB-ddis_res.pkl
DB01656,DB08936,0,1,ds_frenchDB-ddis_res.pkl
DB17472,DB00340,0,1,ds_frenchDB-ddis_res.pkl
DB07419,DB01331,0,1,ds_frenchDB-ddis_res.pkl
DB00928,DB00835,0,1,ds_frenchDB-ddis_res.pkl
DB02152,DB11699,0,1,ds_frenchDB-ddis_res.pkl
DB12893,DB07278,0,1,ds_frenchDB-ddis_res.pkl
DB03512,DB01595,0,1,ds_frenchDB-ddis_res.pkl
DB00198,DB12328,0,1,ds_frenchDB-ddis_res.pkl
DB01355,DB06870,0,1,ds_frenchDB-ddis_res.pkl
DB12783,DB00277,0,1,ds_frenchDB-ddis_res.pkl
DB13953,DB02115,0,1,ds_frenchDB-ddis_res.pkl
DB01141,DB13867,0,1,ds_frenchDB-ddis_res.pkl
DB08860,DB08890,0,1,ds_frenchDB-ddis_res.pkl
DB04440,DB00557,0,1,ds_frenchDB-ddis_res.pkl
DB00252,DB08766,0,1,ds_frenchDB-ddis_res.pkl
DB12001,DB00915,0,1,ds_frenchDB-ddis_res.pkl
DB00333,DB11217,0,1,ds_frenchDB-ddis_res.pkl
DB01395,DB02740,0,1,ds_frenchDB-ddis_res.pkl
DB00031,DB09142,0,1,ds_frenchDB-ddis_res.pkl
DB01340,DB02616,0,1,ds_frenchDB-ddis_res.pkl
DB03312,DB00136,0,1,ds_frenchDB-ddis_res.pkl
DB11632,DB00644,0,1,ds_frenchDB-ddis_res.pkl
DB01050,DB13998,0,1,ds_frenchDB-ddis_res.pkl
DB06643,DB00593,0,1,ds_frenchDB-ddis_res.pkl
DB00555,DB00912,0,1,ds_frenchDB-ddis_res.pkl
DB01791,DB01147,0,1,ds_frenchDB-ddis_res.pkl
DB11842,DB02935,0,1,ds_frenchDB-ddis_res.pkl
DB15090,DB00938,0,1,ds_frenchDB-ddis_res.pkl
DB00502,DB07352,0,1,ds_frenchDB-ddis_res.pkl
DB02057,DB00290,0,1,ds_frenchDB-ddis_res.pkl
DB05239,DB01403,0,1,ds_frenchDB-ddis_res.pkl
DB00369,DB00724,0,1,ds_frenchDB-ddis_res.pkl
DB00752,DB01341,0,1,ds_frenchDB-ddis_res.pkl
DB03466,DB00728,0,1,ds_frenchDB-ddis_res.pkl
DB00996,DB00025,0,1,ds_frenchDB-ddis_res.pkl
DB06908,DB14185,0,1,ds_frenchDB-ddis_res.pkl
DB06775,DB08037,0,1,ds_frenchDB-ddis_res.pkl
DB02375,DB01764,0,1,ds_frenchDB-ddis_res.pkl
DB04545,DB14851,0,1,ds_frenchDB-ddis_res.pkl
DB00422,DB04599,0,1,ds_frenchDB-ddis_res.pkl
DB00208,DB02616,0,1,ds_frenchDB-ddis_res.pkl
DB01015,DB14074,0,1,ds_frenchDB-ddis_res.pkl
DB02812,DB15699,0,1,ds_frenchDB-ddis_res.pkl
DB08052,DB00012,0,1,ds_frenchDB-ddis_res.pkl
DB00703,DB05294,0,1,ds_frenchDB-ddis_res.pkl
DB06148,DB01381,0,1,ds_frenchDB-ddis_res.pkl
DB12783,DB13878,0,1,ds_frenchDB-ddis_res.pkl
DB11632,DB00551,0,1,ds_frenchDB-ddis_res.pkl
DB04280,DB01273,0,1,ds_frenchDB-ddis_res.pkl
DB00205,DB01917,0,1,ds_frenchDB-ddis_res.pkl
DB13152,DB00039,0,1,ds_frenchDB-ddis_res.pkl
DB08125,DB00734,0,1,ds_frenchDB-ddis_res.pkl
DB06782,DB00599,0,1,ds_frenchDB-ddis_res.pkl
DB03258,DB09126,0,1,ds_frenchDB-ddis_res.pkl
DB06681,DB00728,0,1,ds_frenchDB-ddis_res.pkl
DB00823,DB09086,0,1,ds_frenchDB-ddis_res.pkl
DB17992,DB00316,0,1,ds_frenchDB-ddis_res.pkl
DB15164,DB09060,0,1,ds_frenchDB-ddis_res.pkl
DB08877,DB00952,0,1,ds_frenchDB-ddis_res.pkl
DB11071,DB00713,0,1,ds_frenchDB-ddis_res.pkl
DB01109,DB00725,0,1,ds_frenchDB-ddis_res.pkl
DB00754,DB01090,0,1,ds_frenchDB-ddis_res.pkl
DB00208,DB00491,0,1,ds_frenchDB-ddis_res.pkl
DB03536,DB00210,0,1,ds_frenchDB-ddis_res.pkl
DB07450,DB01251,0,1,ds_frenchDB-ddis_res.pkl
DB08933,DB01057,0,1,ds_frenchDB-ddis_res.pkl
DB15719,DB01795,0,1,ds_frenchDB-ddis_res.pkl
DB13915,DB00573,0,1,ds_frenchDB-ddis_res.pkl
DB16862,DB01067,0,1,ds_frenchDB-ddis_res.pkl
DB03758,DB06249,0,1,ds_frenchDB-ddis_res.pkl
DB03147,DB01151,0,1,ds_frenchDB-ddis_res.pkl
DB01232,DB15598,0,1,ds_frenchDB-ddis_res.pkl
DB02651,DB04946,0,1,ds_frenchDB-ddis_res.pkl
DB07213,DB00715,0,1,ds_frenchDB-ddis_res.pkl
DB01621,DB00074,0,1,ds_frenchDB-ddis_res.pkl
DB11094,DB13878,0,1,ds_frenchDB-ddis_res.pkl
DB01436,DB11580,0,1,ds_frenchDB-ddis_res.pkl
DB12543,DB00610,0,1,ds_frenchDB-ddis_res.pkl
