DS,GEMMA2,GPT-4o,PHI3.5,QWEN2.5,drug1,drug2,source_file,target
0,0,0,0,1,DB09297,DB02933,DDI2013,0
0,0,0,0,0,DB07986,DB02137,DDI2013,0
0,0,0,0,0,DB07949,DB07977,DDI2013,0
1,0,1,1,1,DB01764,DB00440,DDI2013,0
0,0,0,0,0,DB06775,DB07336,DDI2013,0
1,0,0,1,0,DB02378,DB01218,DDI2013,0
0,0,1,1,1,DB11640,DB06987,DDI2013,0
0,0,0,0,0,DB00631,DB07347,DDI2013,0
1,0,0,0,1,DB15442,DB02961,DDI2013,0
0,0,0,0,0,DB08093,DB07051,DDI2013,0
0,0,0,0,0,DB00908,DB08210,DDI2013,0
0,0,0,0,1,DB00837,DB03487,DDI2013,0
0,0,0,0,0,DB07293,DB02745,DDI2013,0
0,0,0,0,0,DB01889,DB07034,DDI2013,0
0,0,0,0,0,DB01662,DB03624,DDI2013,0
0,0,0,0,1,DB01172,DB03510,DDI2013,0
0,0,0,0,0,DB02425,DB13074,DDI2013,0
0,0,0,0,0,DB11085,DB02267,DDI2013,0
0,0,0,0,0,DB03421,DB01197,DDI2013,0
1,0,1,1,1,DB09282,DB06822,DDI2013,0
1,0,0,1,0,DB07266,DB15940,DDI2013,0
0,0,0,0,0,DB08835,DB08510,DDI2013,0
0,0,0,0,0,DB03833,DB00211,DDI2013,0
1,0,1,1,1,DB01283,DB08902,DDI2013,0
0,0,0,0,0,DB02677,DB04404,DDI2013,0
0,0,0,0,0,DB02163,DB09037,DDI2013,0
0,0,0,0,0,DB02795,DB02197,DDI2013,0
0,1,1,1,1,DB00126,DB12095,DDI2013,0
1,0,0,0,0,DB04350,DB09319,DDI2013,0
0,0,0,0,0,DB17992,DB04144,DDI2013,0
0,0,0,0,0,DB07556,DB02069,DDI2013,0
1,0,0,0,1,DB09069,DB03793,DDI2013,0
0,0,0,0,1,DB01150,DB08550,DDI2013,0
1,0,1,1,1,DB11679,DB00657,DDI2013,0
0,0,0,0,0,DB08132,DB07194,DDI2013,0
0,0,0,0,0,DB08218,DB07097,DDI2013,0
0,0,0,0,0,DB08088,DB02073,DDI2013,0
0,0,0,0,0,DB03181,DB04653,DDI2013,0
1,0,0,0,0,DB01281,DB01828,DDI2013,0
0,0,0,0,0,DB01112,DB02062,DDI2013,0
1,1,1,1,1,DB08894,DB01162,DDI2013,0
0,0,0,0,0,DB03213,DB02235,DDI2013,0
0,0,0,0,0,DB07561,DB00961,DDI2013,0
0,0,0,0,0,DB01633,DB05015,DDI2013,0
0,0,0,0,0,DB08405,DB06986,DDI2013,0
0,0,0,0,0,DB03320,DB04120,DDI2013,0
0,0,0,0,0,DB04324,DB03670,DDI2013,0
0,0,0,0,0,DB08078,DB04160,DDI2013,0
0,0,0,0,0,DB02614,DB06654,DDI2013,0
0,0,0,0,1,DB05246,DB03571,DDI2013,0
0,0,0,0,0,DB01141,DB07280,DDI2013,0
0,0,0,0,0,DB04565,DB12924,DDI2013,0
0,0,0,0,0,DB02142,DB03742,DDI2013,0
0,0,0,0,0,DB02529,DB07089,DDI2013,0
0,0,0,0,0,DB04805,DB04057,DDI2013,0
0,0,0,0,0,DB07536,DB02147,DDI2013,0
0,0,0,0,0,DB03238,DB03996,DDI2013,0
0,0,0,0,0,DB08361,DB07868,DDI2013,0
0,0,0,0,0,DB07908,DB03371,DDI2013,0
0,0,0,0,0,DB05351,DB04176,DDI2013,0
0,0,1,0,0,DB05299,DB09033,DDI2013,0
0,0,0,0,0,DB07763,DB04835,DDI2013,0
0,0,1,1,1,DB09517,DB00868,DDI2013,0
1,1,1,1,1,DB00615,DB06204,DDI2013,0
0,0,0,0,0,DB02119,DB00204,DDI2013,0
0,0,0,0,0,DB03129,DB07935,FRENCHDB,0
0,0,0,0,0,DB02019,DB07780,FRENCHDB,0
0,0,0,0,0,DB08191,DB04129,FRENCHDB,0
0,0,0,0,0,DB02434,DB00578,FRENCHDB,0
0,0,0,0,0,DB04540,DB03070,FRENCHDB,0
0,0,0,0,0,DB07211,DB15718,FRENCHDB,0
0,0,0,0,0,DB08053,DB08048,FRENCHDB,0
0,0,0,0,0,DB02721,DB03769,FRENCHDB,0
0,0,0,0,0,DB08050,DB02701,FRENCHDB,0
1,0,1,1,1,DB00360,DB13179,FRENCHDB,0
1,1,0,1,1,DB00176,DB04173,FRENCHDB,0
0,0,0,0,0,DB03042,DB12015,FRENCHDB,0
0,0,1,1,1,DB03034,DB08960,FRENCHDB,0
0,0,0,0,0,DB07294,DB01829,FRENCHDB,0
1,0,1,1,1,DB01214,DB02032,FRENCHDB,0
1,1,1,1,0,DB02097,DB00994,FRENCHDB,0
0,0,0,0,0,DB01966,DB07624,FRENCHDB,0
0,0,0,0,0,DB08589,DB07142,FRENCHDB,0
0,0,0,0,0,DB04511,DB02679,FRENCHDB,0
0,0,0,0,0,DB01987,DB00588,FRENCHDB,0
0,0,0,0,0,DB02159,DB00669,FRENCHDB,0
0,0,0,0,0,DB01951,DB02437,FRENCHDB,0
0,0,0,0,0,DB07569,DB02623,FRENCHDB,0
0,1,1,1,0,DB14039,DB08601,FRENCHDB,0
0,0,0,0,0,DB09071,DB03158,FRENCHDB,0
0,0,0,0,1,DB00481,DB03942,FRENCHDB,0
1,1,1,1,1,DB13437,DB11761,FRENCHDB,0
0,0,0,0,0,DB04009,DB04296,FRENCHDB,0
1,0,0,1,0,DB09481,DB03100,FRENCHDB,0
0,0,0,0,0,DB04408,DB02955,FRENCHDB,0
0,0,0,0,0,DB01413,DB08514,FRENCHDB,0
0,0,0,0,0,DB08281,DB02630,FRENCHDB,0
1,1,1,1,1,DB13643,DB11967,FRENCHDB,0
0,0,0,0,0,DB04491,DB07397,FRENCHDB,0
0,0,0,0,0,DB03637,DB07055,FRENCHDB,0
0,0,0,0,0,DB01709,DB03880,FRENCHDB,0
0,0,0,0,0,DB04618,DB01891,FRENCHDB,0
0,0,0,0,0,DB03403,DB03717,FRENCHDB,0
0,0,1,1,1,DB00169,DB08834,FRENCHDB,0
0,0,0,0,0,DB06918,DB08222,FRENCHDB,0
0,0,0,0,0,DB02838,DB01224,FRENCHDB,0
0,0,0,0,0,DB06921,DB02787,FRENCHDB,0
0,0,0,0,0,DB01436,DB07800,FRENCHDB,0
1,1,1,1,1,DB15233,DB01595,FRENCHDB,0
0,0,0,0,0,DB04030,DB06764,FRENCHDB,0
0,0,0,0,0,DB07912,DB07377,FRENCHDB,0
0,0,0,0,0,DB12107,DB01843,FRENCHDB,0
0,0,0,0,0,DB02829,DB00528,FRENCHDB,0
0,0,0,0,0,DB06847,DB04379,FRENCHDB,0
0,0,0,0,0,DB07901,DB00432,FRENCHDB,0
0,0,0,0,0,DB01940,DB01912,FRENCHDB,0
0,0,0,1,0,DB02079,DB08819,FRENCHDB,0
0,0,0,0,0,DB04774,DB14488,FRENCHDB,0
0,0,0,0,0,DB03056,DB00110,FRENCHDB,0
0,0,0,0,1,DB13872,DB07154,FRENCHDB,0
0,0,0,0,0,DB07217,DB01127,FRENCHDB,0
0,0,0,0,1,DB00837,DB07972,FRENCHDB,0
0,0,0,0,0,DB03899,DB08516,FRENCHDB,0
0,0,0,0,0,DB01709,DB00694,FRENCHDB,0
0,0,0,0,0,DB13878,DB06965,FRENCHDB,0
0,0,0,0,0,DB03947,DB03736,FRENCHDB,0
0,0,0,0,0,DB03947,DB04090,FRENCHDB,0
1,1,1,1,1,DB08811,DB00615,FRENCHDB,0
0,0,0,0,0,DB03355,DB07287,FRENCHDB,0
0,0,0,0,0,DB08729,DB00390,FRENCHDB,0
0,0,0,0,0,DB02516,DB08936,FRENCHDB,0
1,0,0,0,0,DB15669,DB04080,FRENCHDB,0
0,0,0,0,0,DB01866,DB04235,FRENCHDB,0
0,0,0,0,0,DB07771,DB03848,FRENCHDB,0
0,0,0,0,0,DB07494,DB07932,FRENCHDB,0
0,0,0,0,0,DB07450,DB02129,FRENCHDB,0
0,0,0,0,0,DB07048,DB13437,FRENCHDB,0
0,0,0,0,0,DB14488,DB08510,FRENCHDB,0
0,0,0,0,0,DB08388,DB08882,FRENCHDB,0
0,0,0,0,1,DB06681,DB03153,FRENCHDB,0
0,0,0,0,0,DB08676,DB02500,FRENCHDB,0
0,0,0,0,1,DB01274,DB07249,FRENCHDB,0
0,0,0,0,0,DB07088,DB02981,FRENCHDB,0
0,0,0,0,0,DB14074,DB08383,FRENCHDB,0
0,0,0,0,0,DB08517,DB02147,FRENCHDB,0
0,0,0,0,1,DB14526,DB01842,FRENCHDB,0
0,1,1,0,0,DB06154,DB01085,FRENCHDB,0
0,0,0,0,0,DB02355,DB01723,FRENCHDB,0
0,0,0,0,0,DB06948,DB16261,FRENCHDB,0
1,0,1,1,1,DB00776,DB09318,FRENCHDB,0
0,0,0,0,0,DB07514,DB16261,FRENCHDB,0
0,0,0,0,0,DB00224,DB08326,FRENCHDB,0
1,0,1,1,1,DB11945,DB01629,FRENCHDB,0
1,0,1,1,1,DB01196,DB12965,FRENCHDB,0
0,0,0,0,0,DB03959,DB09119,FRENCHDB,0
0,0,0,0,0,DB07950,DB03185,FRENCHDB,0
1,1,1,1,1,DB01288,DB09257,FRENCHDB,0
0,0,0,0,0,DB08373,DB08022,FRENCHDB,0
0,0,0,0,0,DB02016,DB01861,FRENCHDB,0
0,0,0,0,0,DB04264,DB07105,FRENCHDB,0
0,0,0,0,0,DB04835,DB02964,FRENCHDB,0
0,0,0,0,0,DB06836,DB00324,FRENCHDB,0
0,0,0,0,0,DB11653,DB07745,FRENCHDB,0
0,0,0,0,0,DB07139,DB01147,FRENCHDB,0
0,0,0,0,0,DB03304,DB07790,FRENCHDB,0
0,0,0,0,0,DB04286,DB14039,FRENCHDB,0
0,0,0,0,0,DB02391,DB02689,FRENCHDB,0
0,0,0,0,0,DB02097,DB07546,FRENCHDB,0
0,0,0,0,0,DB08204,DB07441,FRENCHDB,0
0,0,0,0,0,DB07868,DB02045,FRENCHDB,0
0,0,0,0,0,DB04777,DB00341,FRENCHDB,0
0,0,0,0,0,DB03865,DB15456,FRENCHDB,0
0,0,0,0,0,DB08539,DB02340,FRENCHDB,0
0,0,0,0,0,DB08208,DB14132,FRENCHDB,0
0,0,0,0,0,DB02924,DB01155,FRENCHDB,0
0,0,0,0,0,DB01859,DB03248,FRENCHDB,0
0,0,0,0,0,DB09291,DB04460,FRENCHDB,0
0,0,0,0,0,DB06929,DB00067,FRENCHDB,0
0,0,0,0,0,DB07841,DB02884,FRENCHDB,0
0,0,0,0,0,DB04109,DB07860,FRENCHDB,0
0,0,0,1,1,DB13951,DB04137,FRENCHDB,0
0,0,0,0,0,DB07119,DB02462,FRENCHDB,0
1,1,0,1,1,DB06999,DB04655,FRENCHDB,0
0,0,0,0,0,DB08281,DB08751,FRENCHDB,0
0,0,0,0,0,DB08051,DB03847,FRENCHDB,0
1,0,1,1,1,DB06707,DB14527,FRENCHDB,0
1,0,1,1,1,DB01113,DB01319,FRENCHDB,0
0,0,0,1,1,DB01428,DB05467,FRENCHDB,0
0,0,0,0,0,DB04425,DB03181,FRENCHDB,0
0,0,0,0,0,DB08153,DB00411,FRENCHDB,0
0,0,0,0,0,DB07765,DB07697,FRENCHDB,0
0,0,0,0,0,DB08397,DB00162,FRENCHDB,0
0,0,0,0,0,DB02663,DB02655,FRENCHDB,0
0,0,0,0,0,DB08443,DB07579,FRENCHDB,0
0,0,0,0,0,DB06881,DB07946,FRENCHDB,0
0,0,0,0,0,DB03455,DB02724,FRENCHDB,0
0,0,0,0,0,DB07008,DB00492,FRENCHDB,0
0,0,0,0,0,DB04466,DB07805,FRENCHDB,0
0,0,0,0,0,DB02042,DB07672,FRENCHDB,0
0,0,0,0,0,DB04271,DB03771,FRENCHDB,0
0,0,0,0,0,DB02402,DB15791,FRENCHDB,0
0,0,0,0,0,DB08114,DB07743,FRENCHDB,0
0,0,0,1,0,DB14499,DB01940,FRENCHDB,0
1,0,0,1,0,DB01676,DB00413,FRENCHDB,0
0,0,0,0,0,DB00725,DB07561,FRENCHDB,0
0,0,0,0,0,DB07074,DB03919,FRENCHDB,0
0,0,0,0,0,DB06880,DB03252,FRENCHDB,0
0,0,0,0,0,DB06890,DB03326,FRENCHDB,0
0,0,0,0,0,DB03888,DB08552,FRENCHDB,0
0,0,0,0,0,DB03951,DB00519,FRENCHDB,0
0,0,0,0,0,DB04797,DB06922,FRENCHDB,0
0,0,0,0,0,DB02422,DB01964,FRENCHDB,0
0,0,0,0,0,DB08575,DB07472,FRENCHDB,0
0,0,0,0,0,DB02365,DB04058,FRENCHDB,0
0,0,0,0,0,DB00033,DB03320,FRENCHDB,0
0,0,0,0,0,DB08385,DB07226,FRENCHDB,0
0,0,0,0,0,DB07507,DB07848,FRENCHDB,0
0,0,0,0,0,DB03187,DB07549,FRENCHDB,0
0,1,0,0,0,DB08615,DB00722,FRENCHDB,0
0,0,0,1,1,DB13884,DB09151,FRENCHDB,0
0,0,0,0,0,DB01752,DB11323,FRENCHDB,0
0,0,0,0,0,DB07841,DB01656,FRENCHDB,0
0,0,0,0,0,DB02953,DB02395,FRENCHDB,0
0,0,0,0,0,DB04624,DB08597,FRENCHDB,0
0,0,0,0,0,DB01725,DB02801,FRENCHDB,0
0,0,0,0,0,DB07253,DB04212,FRENCHDB,0
0,0,0,0,0,DB08266,DB08469,FRENCHDB,0
0,1,0,1,1,DB06714,DB00240,FRENCHDB,0
1,1,1,0,1,DB11093,DB13751,FRENCHDB,0
0,0,0,0,0,DB02489,DB02482,FRENCHDB,0
0,0,0,1,0,DB14109,DB01125,FRENCHDB,0
0,0,0,0,0,DB01814,DB09151,FRENCHDB,0
0,0,0,0,0,DB03976,DB08514,FRENCHDB,0
0,0,0,0,0,DB02309,DB02482,FRENCHDB,0
0,0,0,0,0,DB04792,DB12328,FRENCHDB,0
0,0,0,0,0,DB00140,DB08258,FRENCHDB,0
0,0,0,0,0,DB15102,DB08053,FRENCHDB,0
0,0,0,0,0,DB00083,DB02597,FRENCHDB,0
0,0,1,1,1,DB06720,DB00698,FRENCHDB,0
0,0,0,0,0,DB07850,DB08593,FRENCHDB,0
0,0,0,0,1,DB02644,DB00277,FRENCHDB,0
0,0,0,0,0,DB07041,DB15495,FRENCHDB,0
0,0,0,0,0,DB07779,DB02521,FRENCHDB,0
0,0,0,0,0,DB07806,DB01209,FRENCHDB,0
0,0,0,0,0,DB02574,DB02746,FRENCHDB,0
0,0,0,0,0,DB06867,DB06702,FRENCHDB,0
0,0,0,0,0,DB11569,DB03729,FRENCHDB,0
0,0,0,0,0,DB08352,DB08323,FRENCHDB,0
0,0,0,0,0,DB08371,DB08656,FRENCHDB,0
0,0,0,1,0,DB03546,DB15565,FRENCHDB,0
0,0,0,0,0,DB03254,DB04517,FRENCHDB,0
0,0,0,0,0,DB04533,DB02310,FRENCHDB,0
0,0,0,1,0,DB09329,DB07450,FRENCHDB,0
0,0,0,0,0,DB00909,DB03412,FRENCHDB,0
0,0,0,0,0,DB03756,DB04133,FRENCHDB,0
0,0,0,0,0,DB13581,DB08682,FRENCHDB,0
0,0,0,0,0,DB07258,DB08262,FRENCHDB,0
0,0,0,0,1,DB01237,DB07356,FRENCHDB,0
0,0,0,0,0,DB07445,DB08357,FRENCHDB,0
0,0,0,0,0,DB02442,DB04642,FRENCHDB,0
0,0,0,0,1,DB01226,DB02413,FRENCHDB,0
0,0,0,0,0,DB08744,DB02252,FRENCHDB,0
0,0,0,0,0,DB02700,DB01109,FRENCHDB,0
0,0,0,0,0,DB03195,DB07287,FRENCHDB,0
0,0,0,0,0,DB01034,DB03453,FRENCHDB,0
0,0,0,0,1,DB01349,DB03234,FRENCHDB,0
0,0,0,0,0,DB03241,DB14488,FRENCHDB,0
0,0,0,0,0,DB03488,DB04845,FRENCHDB,0
0,0,0,0,0,DB04604,DB07075,FRENCHDB,0
0,0,0,0,0,DB02088,DB06414,FRENCHDB,0
1,1,1,1,1,DB06718,DB00814,FRENCHDB,0
0,0,0,0,0,DB02243,DB03382,FRENCHDB,0
1,0,0,0,0,DB15488,DB01587,FRENCHDB,0
0,0,0,0,0,DB03451,DB07195,FRENCHDB,0
0,0,0,0,0,DB07869,DB03781,FRENCHDB,0
0,0,0,0,0,DB04306,DB00246,FRENCHDB,0
0,0,0,0,0,DB04865,DB03462,FRENCHDB,0
0,0,0,0,1,DB00344,DB07520,FRENCHDB,0
0,0,0,0,0,DB07820,DB08239,FRENCHDB,0
0,0,0,0,1,DB06725,DB08035,FRENCHDB,0
1,0,0,1,1,DB01026,DB03975,FRENCHDB,0
0,0,0,0,0,DB03830,DB02352,FRENCHDB,0
0,0,0,0,1,DB00869,DB08668,FRENCHDB,0
0,0,0,0,0,DB01812,DB03331,FRENCHDB,0
0,0,1,1,1,DB16694,DB01341,FRENCHDB,0
0,0,0,0,0,DB07081,DB03523,FRENCHDB,0
0,0,0,0,1,DB00603,DB08293,FRENCHDB,0
0,0,0,0,0,DB00499,DB03145,FRENCHDB,0
0,0,0,0,0,DB15688,DB04169,FRENCHDB,0
0,0,0,1,1,DB01144,DB01946,FRENCHDB,0
0,0,0,0,0,DB04526,DB00307,FRENCHDB,0
1,1,1,1,1,DB12023,DB01072,FRENCHDB,0
0,0,0,0,0,DB08039,DB00370,FRENCHDB,0
0,0,0,0,0,DB07196,DB02722,FRENCHDB,0
0,0,0,0,0,DB02430,DB04350,FRENCHDB,0
0,0,0,0,0,DB02504,DB04855,FRENCHDB,0
0,0,0,0,0,DB02430,DB02954,FRENCHDB,0
1,0,0,0,0,DB03310,DB00645,FRENCHDB,0
0,0,0,0,0,DB03582,DB07249,FRENCHDB,0
0,0,0,0,0,DB08112,DB03584,FRENCHDB,0
0,0,0,0,0,DB00313,DB08606,FRENCHDB,0
0,0,0,0,0,DB07724,DB08060,FRENCHDB,0
1,0,1,1,1,DB17083,DB00796,FRENCHDB,0
1,0,0,1,1,DB02329,DB04356,FRENCHDB,0
0,0,0,0,0,DB04784,DB07481,FRENCHDB,0
0,0,0,0,0,DB00214,DB02645,FRENCHDB,0
0,0,0,0,0,DB04931,DB07199,FRENCHDB,0
0,0,0,0,0,DB01806,DB00891,FRENCHDB,0
0,0,0,0,0,DB07920,DB00312,FRENCHDB,0
0,0,0,0,0,DB01326,DB01966,FRENCHDB,0
1,1,1,1,1,DB01253,DB04838,FRENCHDB,0
0,0,0,0,0,DB03732,DB01339,FRENCHDB,0
0,0,0,0,0,DB02365,DB07959,FRENCHDB,0
0,0,0,0,0,DB07835,DB04394,FRENCHDB,0
0,0,0,0,0,DB02974,DB15699,FRENCHDB,0
1,1,0,1,1,DB00107,DB02315,FRENCHDB,0
0,0,0,0,0,DB04387,DB07899,FRENCHDB,0
0,0,0,0,0,DB02192,DB12783,FRENCHDB,0
0,0,0,0,0,DB03889,DB03068,FRENCHDB,0
0,0,0,0,0,DB00621,DB02434,FRENCHDB,0
0,0,0,0,0,DB03380,DB02785,FRENCHDB,0
1,1,1,1,1,DB09343,DB01212,FRENCHDB,0
0,0,0,0,0,DB03592,DB00938,FRENCHDB,0
0,0,0,0,0,DB07081,DB07813,FRENCHDB,0
0,0,0,0,0,DB02749,DB04006,FRENCHDB,0
0,0,0,0,0,DB08661,DB07684,FRENCHDB,0
1,0,1,1,1,DB11751,DB01346,FRENCHDB,0
0,0,0,0,0,DB04349,DB09532,FRENCHDB,0
0,0,0,0,0,DB08777,DB01888,FRENCHDB,0
0,0,0,1,0,DB02446,DB01415,FRENCHDB,0
1,0,1,1,1,DB11712,DB09319,FRENCHDB,0
0,0,0,0,0,DB03866,DB03734,FRENCHDB,0
0,0,0,0,0,DB04138,DB04063,FRENCHDB,0
0,0,0,0,0,DB03095,DB02731,FRENCHDB,0
0,0,0,0,0,DB07049,DB03765,FRENCHDB,0
0,0,0,0,0,DB07098,DB03936,FRENCHDB,0
0,0,0,0,0,DB12924,DB01897,FRENCHDB,0
0,0,0,0,0,DB15569,DB07367,FRENCHDB,0
0,0,0,0,0,DB04257,DB07487,FRENCHDB,0
0,0,0,0,1,DB13872,DB07782,FRENCHDB,0
0,0,0,0,0,DB03760,DB03928,FRENCHDB,0
1,1,0,0,1,DB01045,DB04646,FRENCHDB,0
0,0,0,0,0,DB02679,DB04265,FRENCHDB,0
0,0,0,0,1,DB01064,DB04520,FRENCHDB,0
0,0,0,0,0,DB02908,DB02645,FRENCHDB,0
0,0,0,0,0,DB03935,DB08083,FRENCHDB,0
1,1,1,1,1,DB00175,DB09274,FRENCHDB,0
0,0,0,0,0,DB02215,DB02846,FRENCHDB,0
0,0,0,0,0,DB04395,DB09119,FRENCHDB,0
0,0,0,0,1,DB09069,DB07818,FRENCHDB,0
0,0,0,0,0,DB14731,DB06864,FRENCHDB,0
0,0,0,0,0,DB09043,DB01803,FRENCHDB,0
1,0,1,1,1,DB11693,DB00703,FRENCHDB,0
0,0,0,0,0,DB08743,DB03114,FRENCHDB,0
0,1,0,0,0,DB07506,DB06924,FRENCHDB,0
0,0,0,0,0,DB07893,DB11311,FRENCHDB,0
0,0,0,0,0,DB07217,DB02999,FRENCHDB,0
0,0,0,0,0,DB04204,DB02524,FRENCHDB,0
0,0,0,1,0,DB13873,DB04000,FRENCHDB,0
0,0,0,0,0,DB08737,DB02753,FRENCHDB,0
0,0,0,0,0,DB08341,DB08661,FRENCHDB,0
0,0,0,0,0,DB07400,DB09256,FRENCHDB,0
0,0,0,0,0,DB07856,DB04890,FRENCHDB,0
0,0,0,0,0,DB04544,DB03763,FRENCHDB,0
0,0,0,0,0,DB07405,DB02216,FRENCHDB,0
0,0,0,0,0,DB02629,DB04270,FRENCHDB,0
0,0,0,0,0,DB03433,DB08176,FRENCHDB,0
0,0,0,0,0,DB04297,DB07790,FRENCHDB,0
0,0,0,0,0,DB04393,DB08647,FRENCHDB,0
0,0,0,0,0,DB03259,DB08888,FRENCHDB,0
1,1,1,1,1,DB09338,DB00922,FRENCHDB,0
0,0,0,0,0,DB07872,DB02719,FRENCHDB,0
0,0,0,0,0,DB06267,DB07502,FRENCHDB,0
0,0,0,0,0,DB07320,DB02979,FRENCHDB,0
0,0,0,0,0,DB07616,DB00129,FRENCHDB,0
0,0,0,0,0,DB02870,DB06936,FRENCHDB,0
0,1,0,0,0,DB00584,DB03721,FRENCHDB,0
0,0,0,0,0,DB00201,DB04685,FRENCHDB,0
0,0,0,0,0,DB00148,DB07476,FRENCHDB,0
0,0,0,0,0,DB09283,DB07507,FRENCHDB,0
0,0,0,0,0,DB02676,DB00948,FRENCHDB,0
0,0,0,0,0,DB02282,DB03224,FRENCHDB,0
0,0,0,0,0,DB03313,DB02989,FRENCHDB,0
1,1,1,1,1,DB01098,DB00082,FRENCHDB,0
1,0,0,1,1,DB00314,DB03880,FRENCHDB,0
0,0,0,0,0,DB06274,DB03411,FRENCHDB,0
1,0,1,1,1,DB06726,DB00073,FRENCHDB,0
0,0,0,0,0,DB04598,DB09245,FRENCHDB,0
0,0,0,0,0,DB03028,DB13149,FRENCHDB,0
1,0,0,0,1,DB00967,DB04371,FRENCHDB,0
0,0,0,0,0,DB00444,DB07458,FRENCHDB,0
0,0,0,0,1,DB00796,DB03722,FRENCHDB,0
0,0,0,0,0,DB08340,DB00630,FRENCHDB,0
0,0,0,1,0,DB08310,DB00270,FRENCHDB,0
0,0,0,0,0,DB02825,DB07352,FRENCHDB,0
1,0,0,1,1,DB08647,DB08820,FRENCHDB,0
0,0,0,0,0,DB06929,DB07746,FRENCHDB,0
0,0,1,1,1,DB01024,DB04339,FRENCHDB,0
0,0,0,0,0,DB03994,DB04703,FRENCHDB,0
0,0,0,0,1,DB01394,DB03683,FRENCHDB,0
1,0,0,1,0,DB03114,DB01329,FRENCHDB,0
0,0,0,0,0,DB07635,DB02458,FRENCHDB,0
0,0,0,0,0,DB07328,DB04032,FRENCHDB,0
0,0,0,0,1,DB00437,DB03394,FRENCHDB,0
0,0,0,0,0,DB07788,DB04140,FRENCHDB,0
0,0,0,0,0,DB02530,DB07844,FRENCHDB,0
0,0,0,0,0,DB00916,DB06867,FRENCHDB,0
0,0,0,0,0,DB02750,DB00868,FRENCHDB,0
0,0,0,0,0,DB08125,DB04798,FRENCHDB,0
1,0,0,1,1,DB08888,DB00587,FRENCHDB,0
0,0,1,1,1,DB00357,DB00909,FRENCHDB,0
0,0,0,0,0,DB04275,DB03276,FRENCHDB,0
0,0,0,0,0,DB03274,DB03199,FRENCHDB,0
0,0,0,0,0,DB04835,DB08210,FRENCHDB,0
1,0,0,1,0,DB02574,DB00309,FRENCHDB,0
0,0,0,0,0,DB03392,DB04592,FRENCHDB,0
0,0,0,0,0,DB02840,DB08429,FRENCHDB,0
1,0,0,1,1,DB11921,DB09151,FRENCHDB,0
0,0,0,0,0,DB06837,DB04505,FRENCHDB,0
0,0,0,0,0,DB07606,DB04294,FRENCHDB,0
0,0,0,0,0,DB03958,DB01956,FRENCHDB,0
0,0,0,0,0,DB04724,DB03338,FRENCHDB,0
0,0,0,0,0,DB04734,DB06855,FRENCHDB,0
0,0,0,0,0,DB00235,DB02184,FRENCHDB,0
